Lon,Lat,Lon2,Lat2
21.3144531,52.1537856,21.3085713,52.1577375
20.9937498,52.2990948,20.9982483,52.2948105
21.0361083,52.3003861,21.0463577,52.3031645
20.9678336,52.0399438,20.9752963,52.043826
20.9090976,52.166938,20.9149236,52.1716594
20.9635497,52.2172514,20.956391,52.2147611
21.038698,52.161583,21.042877,52.157272
20.974955,52.277905,20.967909,52.27417
21.1411313,52.0936953,21.1496731,52.0956421
21.065508,52.170277,21.056795,52.172382
20.8637152,52.0453702,20.8616029,52.0397367
20.886841,52.297932,20.887403,52.297737
21.138565,52.2293933,21.12975,52.23295
21.096445,52.1236783,21.100525,52.1197867
20.967015,52.3133733,20.9560383,52.3090067
21.01783,52.165413,21.019257,52.170635
20.996126,52.287479,21.004192,52.291187
20.960602,52.268341,20.967207,52.273197
20.800667,52.295738,20.790403,52.29908
21.0455865,52.3897916,21.0418248,52.3826371
21.2590348,52.139968,21.25035,52.1350313
21.16185,52.3917005,21.1564646,52.3852198
21.0845703,52.2982048,21.0780185,52.2903871
21.033895,52.3942885,21.0309271,52.3874425
20.9337514,52.2967361,20.9414343,52.3018619
21.1108941,51.9865401,21.1176336,51.9804961
20.9149236,52.1716594,20.9292327,52.1677112
21.005278,52.291008,21.01572,52.293682
21.0455,52.191433,21.039167,52.197411
20.8292663,52.2620971,20.8376023,52.257267
20.7151603,52.2492528,20.7268693,52.25059
21.056795,52.172382,21.045914,52.174904
20.6317884,52.262054,20.642883,52.262665
20.97962,52.174191,20.97879,52.183002
21.0964383,52.2171,21.0861867,52.2099233
20.9560383,52.3090067,20.944845,52.303625
21.018396,52.106709,21.018726,52.100327
21.004192,52.291187,20.996069,52.297131
21.2936025,52.1733151,21.287781,52.181728
21.3075008,52.1585115,21.3179708,52.152976
20.9414343,52.3018619,20.9549697,52.3083374
21.1176336,51.9804961,21.1271635,51.9740941
20.908493,52.186821,20.921978,52.191303
21.1108676,52.2069035,21.1181636,52.1995079
21.1544486,51.958571,21.1439896,51.9522406
20.920263,52.315285,20.912157,52.322651
21.1117541,52.2265512,21.1239789,52.2323457
21.1247385,52.2326469,21.1394989,52.2286926
21.2213686,52.4603388,21.2372743,52.4599363
21.1490988,52.064958,21.1398941,52.0728786
21.056513,52.226841,21.037866,52.222558
20.944845,52.303625,20.9333683,52.29666
20.990871,52.285099,21.002666,52.290169
20.784542,52.300468,20.772045,52.305695
21.0552838,52.2542281,21.0639793,52.2589535
20.9549697,52.3083374,20.9650394,52.3125118
21.1271635,51.9740941,21.1331615,51.9657259
21.038488,52.235348,21.04954,52.237576
20.652033,52.263039,20.664282,52.263336
